emplyeeId,date,totalMinutes,totalData
1905,10/9/2017,29,0.02
1906,4/17/2018,7,0.65
1905,2/18/2018,21,0.26
1906,5/13/2018,61,1.91
1909,1/20/2018,45,0.76
1907,4/12/2018,73,1.61
1908,5/24/2018,22,0.35
1903,4/12/2018,40,0.95
1907,11/25/2017,96,1.96
1909,4/13/2018,88,0.38
1907,2/4/2018,66,0.23
1904,10/27/2017,76,0.75
1904,7/3/2018,1,1.16
1909,1/11/2018,66,1.64
1906,1/22/2018,89,1.62
1903,12/31/2017,31,0.89
1906,4/6/2018,2,0.06
1904,2/12/2018,4,1.78
1903,5/25/2018,42,0.31
1911,5/23/2018,54,0.97
1903,4/9/2018,64,0.64
1907,2/7/2018,65,0.03
1907,1/13/2018,40,1.18
1907,7/22/2018,92,1.12
1910,3/14/2018,14,0.56
1910,8/28/2018,97,1.14
1910,7/10/2018,4,1.23
1908,9/17/2018,54,1.71
1910,12/17/2017,99,0.39
1909,11/22/2017,7,0.73
1905,3/29/2018,49,1.64
1908,2/24/2018,38,1.12
1905,2/26/2018,53,0.05
1908,9/19/2018,22,0.09
1908,10/23/2017,1,0.4
1903,11/2/2017,69,1.51
1907,9/25/2017,13,0.52
1906,12/9/2017,37,0.24
1904,11/27/2017,36,1.83
1903,3/20/2018,66,1.19
1905,1/2/2018,48,1.71
1909,12/28/2017,22,0.07
1904,4/11/2018,56,0.87
1907,10/16/2017,37,1.85
1903,4/22/2018,81,0.11
1911,9/15/2018,82,1.39
1911,9/20/2018,81,0.15
1911,10/29/2017,71,0.6
1911,8/10/2018,4,0.03
1909,5/17/2018,86,0.11
1904,3/4/2018,93,1.58
1907,5/21/2018,30,0.6
1906,6/14/2018,75,0.37
1906,7/28/2018,69,0.46
1909,9/3/2018,9,0.07
1903,2/28/2018,15,0.87
1905,6/24/2018,8,1.04
1911,10/21/2017,78,1.48
1906,5/19/2018,73,1.79
1908,3/4/2018,91,0.35
1907,5/1/2018,23,0.84
1906,11/30/2017,22,0.04
1909,1/9/2018,36,1.7
1910,6/1/2018,33,1.95
1910,7/29/2018,94,0.43
1909,11/7/2017,92,1.44
1911,9/24/2017,25,1.16
1903,1/25/2018,27,0.97
1904,5/3/2018,29,0.13
1909,1/1/2018,77,1.96
1905,11/6/2017,61,0.9
1910,11/25/2017,22,1.47
1904,12/8/2017,76,0.55
1904,2/18/2018,23,1.53
1906,2/14/2018,36,0.21
1907,3/26/2018,94,1.85
1904,8/1/2018,17,1.59
1911,3/14/2018,3,0.52
1907,7/4/2018,98,1.72
1906,5/15/2018,23,1.64
1907,4/11/2018,38,1.81
1910,4/27/2018,92,0.07
1911,6/3/2018,40,1.33
1908,2/28/2018,85,1.88
1905,1/8/2018,10,1.53
1903,7/6/2018,10,1.96
1904,10/2/2017,29,1.35
1905,3/28/2018,63,0.53
1907,2/3/2018,91,1.08
1906,3/2/2018,50,1.88
1904,11/23/2017,20,0.14
1906,2/10/2018,1,1.89
1908,6/2/2018,3,1.34
1904,9/22/2017,89,0.52
1906,8/17/2018,2,0.31
1904,7/20/2018,65,1.66
1905,11/30/2017,60,1.8
1906,1/17/2018,35,0.46
1910,8/16/2018,8,0.11
1905,12/29/2017,19,0.6
1904,10/22/2017,77,0.5
1907,3/13/2018,99,1.66
1904,8/28/2018,88,1.08
1906,2/1/2018,74,0.08
1907,10/9/2017,55,0.19
1910,8/2/2018,72,1.96
1909,12/9/2017,89,0.34
1906,7/1/2018,76,1.41
1907,12/11/2017,15,0.62
1908,10/3/2017,15,0.66
1906,10/28/2017,33,1.56
1906,6/17/2018,23,0.57
1909,8/16/2018,29,1.01
1903,1/1/2018,71,0.64
1906,9/23/2017,9,1.69
1907,1/16/2018,64,1.21
1903,4/19/2018,87,0.45
1906,7/6/2018,38,0.03
1911,7/21/2018,32,0.59
1905,7/7/2018,92,0.85
1906,2/25/2018,98,0.4
1904,6/7/2018,36,1.16
1905,4/28/2018,25,0.37
1908,3/16/2018,52,0.87
1904,4/17/2018,99,0.33
1904,8/23/2018,84,0.82
1905,6/7/2018,3,0.04
1907,4/6/2018,10,1.87
1908,5/16/2018,2,0.46
1907,11/10/2017,60,1.84
1911,9/10/2018,33,1.72
1911,1/5/2018,65,0.55
1908,9/19/2018,26,0.07
1910,8/24/2018,79,0.62
1911,1/13/2018,23,1.86
1907,4/11/2018,95,0.91
1904,10/24/2017,38,1.58
1905,6/8/2018,66,0.13
1911,12/26/2017,66,0.44
1909,8/20/2018,42,1.76
1911,8/27/2018,41,1.73
1906,5/27/2018,87,1.73
1909,1/1/2018,46,1.96
1908,6/3/2018,73,0.04
1910,4/23/2018,35,1.69
1908,1/19/2018,77,1.2
1904,7/19/2018,22,1.26
1903,8/2/2018,18,1.56
1906,6/27/2018,45,0.46
1911,7/21/2018,88,0.2
1903,5/4/2018,56,0.5
1903,9/9/2018,70,1.37
1906,7/7/2018,20,1.81
1911,11/17/2017,83,1.4
1910,3/19/2018,37,0.14
1905,4/18/2018,78,1.96
1909,1/14/2018,46,1.73
1905,4/18/2018,11,0.25
1903,12/24/2017,31,1.45
1905,10/31/2017,41,1.29
1909,3/31/2018,33,0.93
1903,8/15/2018,31,0.04
1908,7/18/2018,40,1.57
1910,4/27/2018,17,0.15
1904,7/31/2018,3,1.72
1903,3/3/2018,60,1.97
1903,9/28/2017,71,1.77
1909,3/5/2018,32,1.96
1903,7/8/2018,69,1.79
1910,8/11/2018,97,0.9
1903,4/28/2018,81,1.84
1909,7/6/2018,81,0.78
1905,1/24/2018,82,1.69
1907,11/22/2017,19,0.1
1910,3/4/2018,5,1.7
1907,6/3/2018,85,0.02
1910,4/29/2018,51,1.56
1907,1/31/2018,39,0.85
1910,2/27/2018,26,1.23
1905,3/28/2018,91,0.64
1903,1/19/2018,91,1.89
1911,5/27/2018,97,1.58
1906,11/23/2017,58,1.4
1907,6/23/2018,40,0.09
1904,9/25/2017,16,1.96
1908,3/5/2018,45,0.89
1911,12/6/2017,58,0.04
1904,5/5/2018,4,1.42
1905,12/4/2017,91,1.47
1903,10/13/2017,47,1.98
1905,10/14/2017,2,0.32
1906,6/21/2018,49,1.5
1910,1/30/2018,56,0.91
1909,8/24/2018,97,0.83
1905,5/4/2018,5,0.55
1910,8/16/2018,44,0.99
1909,5/10/2018,30,1.23
1908,4/1/2018,16,1.89
1904,1/9/2018,91,1.1
1906,1/22/2018,12,0.86
1908,11/9/2017,73,1.1
1910,4/16/2018,18,1.92
1904,4/29/2018,55,1.91
1907,2/20/2018,71,1.9
1905,3/5/2018,69,1.78
1908,2/28/2018,27,1.39
1911,1/13/2018,51,0.25
1905,10/9/2017,29,0.09
1907,10/22/2017,3,0.39
1906,3/31/2018,39,1.61
1906,7/1/2018,49,0.13
1905,12/12/2017,18,0.39
1903,4/19/2018,92,1.62
1905,12/31/2017,75,1.3
1909,1/7/2018,16,1.4
1910,1/20/2018,72,0.56
1907,1/27/2018,90,0.59
1911,9/21/2017,53,1.75
1908,5/22/2018,100,0.48
1907,12/15/2017,95,1.06
1906,12/12/2017,19,1.24
1906,4/18/2018,66,1.2
1908,7/11/2018,60,1.12
1907,3/19/2018,64,1.03
1903,2/5/2018,25,0.09
1908,11/19/2017,79,1.77
1907,10/28/2017,21,0.02
1903,3/8/2018,67,1.4
1903,9/30/2017,57,1.45
1907,9/9/2018,21,0.28
1903,2/20/2018,82,1.15
1905,7/29/2018,61,1.02
1907,8/8/2018,25,0.68
1910,6/6/2018,58,0.98
1904,4/23/2018,29,0.73
1906,3/1/2018,20,0.35
1905,8/14/2018,22,0.65
1911,1/1/2018,40,1.14
1911,11/12/2017,83,0.29
1908,8/19/2018,76,0.57
1909,9/30/2017,85,1.43
1908,1/9/2018,7,1.31
1906,6/28/2018,91,0.67
1903,11/13/2017,28,0.86
1905,2/27/2018,53,1.79
1908,7/13/2018,39,0.86
1904,10/30/2017,86,1.34
1909,5/24/2018,27,1.58
1903,9/16/2018,53,0.53
1903,8/18/2018,29,0.76
1910,9/26/2017,4,0.68
1905,12/8/2017,32,0.07
1909,8/25/2018,82,0.6
1910,11/9/2017,30,0.37
1904,11/21/2017,18,0.49
1911,11/21/2017,31,1.76
1906,9/14/2018,65,1.44
1908,2/21/2018,5,1.71
1911,11/8/2017,96,0.79
1906,2/2/2018,58,0.58
1907,1/1/2018,45,0.25
1909,10/26/2017,87,1.35
1904,2/7/2018,6,0.14
1910,7/30/2018,95,1.42
1904,7/16/2018,8,1.91
1907,8/9/2018,7,0.54
1903,11/6/2017,3,0.19
1910,4/24/2018,24,1.58
1905,7/1/2018,99,0.69
1910,4/5/2018,65,1.12
1907,1/4/2018,31,1.51
1910,11/17/2017,50,0.55
1911,1/16/2018,2,1.38
1903,3/29/2018,25,0.8
1910,10/20/2017,89,1.21
1904,6/9/2018,87,1.54
1903,12/12/2017,91,0.26
1906,6/19/2018,31,0.08
1904,5/5/2018,30,0.59
1910,8/1/2018,16,0.31
1905,9/7/2018,62,1.05
1903,4/8/2018,31,0.37
1909,7/9/2018,1,0.04
1910,2/9/2018,23,1.25
1909,6/18/2018,4,0.45
1904,5/8/2018,32,1.84
1911,9/16/2018,67,1.23
1905,5/27/2018,24,1.83
1904,5/21/2018,38,1.26
1910,5/28/2018,62,0.51
1903,1/22/2018,43,1.55
1905,11/17/2017,47,0.83
1906,7/26/2018,41,1.97
1905,3/19/2018,60,0.3
1906,12/24/2017,85,1.59
1907,6/16/2018,24,1.62
1904,4/30/2018,63,0.84
1904,4/17/2018,46,0.38
1909,9/12/2018,75,0.57
1906,2/25/2018,7,0.45
1909,6/3/2018,93,0.18
1903,11/17/2017,38,1.81
1911,12/20/2017,51,0.31
1903,2/17/2018,22,0.25
1911,5/12/2018,7,0.51
1911,3/28/2018,70,1.72
1906,9/10/2018,65,0.76
1903,10/21/2017,97,0.41
1908,4/19/2018,71,0.11
1905,2/19/2018,98,1.78
1904,6/25/2018,99,1.13
1911,12/22/2017,20,1.78
1904,3/3/2018,49,1.34
1908,4/15/2018,79,1.12
1903,3/6/2018,92,0.16
1903,3/24/2018,11,0.34
1910,2/8/2018,92,0.2
1905,6/15/2018,48,1.49
1908,8/20/2018,21,1.6
1908,10/15/2017,65,1.53
1910,11/26/2017,33,0.11
1906,3/14/2018,89,1.66
1904,5/27/2018,24,0.95
1905,10/11/2017,46,0.09
1908,9/23/2017,6,1.24
1905,8/4/2018,52,0.19
1908,8/1/2018,88,1.23
1903,12/11/2017,8,1.19
1911,2/14/2018,89,0.13
1911,2/26/2018,58,1.15
1907,1/7/2018,55,1.98
1903,1/13/2018,69,1.34
1910,10/17/2017,42,1.59
1910,3/4/2018,98,1.61
1911,3/26/2018,46,0.18
1903,8/7/2018,8,1.3
1907,10/23/2017,81,1.78
1911,7/11/2018,94,0.4
1906,8/14/2018,80,1.18
1906,8/6/2018,67,0.38
1909,10/30/2017,26,1.36
1907,8/7/2018,36,1.8
1903,10/21/2017,17,0.03
1908,3/1/2018,43,1.85
1904,12/22/2017,24,0.53
1909,11/13/2017,4,0.19
1908,10/25/2017,31,0.98
1908,3/18/2018,58,0.06
1907,11/12/2017,64,1.93
1905,7/21/2018,28,0.08
1906,11/28/2017,61,0.99
1911,9/4/2018,77,0.83
1903,10/13/2017,65,1.0
1909,2/4/2018,83,1.55
1904,10/13/2017,87,1.08
1909,6/19/2018,40,1.07
1910,8/6/2018,48,1.48
1907,12/11/2017,99,1.15
1910,8/3/2018,75,1.26
1906,11/25/2017,5,1.08
1905,11/2/2017,94,1.5
1905,9/24/2017,72,1.47
1904,2/23/2018,49,0.02
1906,4/11/2018,22,1.49
1908,6/3/2018,80,0.78
1911,3/4/2018,37,0.82
1911,7/13/2018,84,1.85
1909,7/20/2018,72,0.07
1906,11/26/2017,73,0.54
1909,10/18/2017,94,1.54
1905,7/10/2018,18,1.86
1906,9/10/2018,11,1.14
1905,7/27/2018,52,1.78
1906,5/20/2018,7,0.13
1909,8/22/2018,62,1.13
1908,12/12/2017,65,0.8
1909,5/26/2018,40,1.08
1903,5/15/2018,28,1.72
1911,7/6/2018,79,1.24
1904,10/20/2017,12,0.81
1903,3/4/2018,96,0.81
1903,2/13/2018,96,0.12
1905,4/7/2018,38,1.94
1911,1/12/2018,67,0.54
1909,8/30/2018,25,1.94
1910,1/20/2018,37,1.96
1907,4/26/2018,32,1.17
1910,7/11/2018,13,0.25
1910,3/14/2018,30,0.67
1906,7/16/2018,43,0.43
1911,10/8/2017,97,0.52
1911,3/31/2018,46,1.24
1909,2/19/2018,11,0.93
1904,2/12/2018,13,1.88
1905,5/12/2018,36,0.25
1904,4/1/2018,52,1.15
1911,5/15/2018,28,1.07
1908,7/28/2018,45,0.48
1907,10/6/2017,95,1.69
1904,8/15/2018,100,1.1
1910,6/14/2018,74,0.76
1910,4/20/2018,60,1.03
1903,1/11/2018,85,0.72
1904,1/20/2018,32,0.46
1906,7/31/2018,10,0.35
1906,12/3/2017,9,0.88
1911,9/15/2018,16,0.33
1905,12/5/2017,67,1.78
1911,5/13/2018,74,1.22
1909,6/7/2018,95,0.61
1909,6/4/2018,9,1.96
1907,2/16/2018,58,0.51
1904,12/24/2017,83,1.94
1906,9/6/2018,51,0.56
1903,5/6/2018,8,0.49
1906,4/20/2018,39,0.95
1904,4/6/2018,86,1.68
1909,11/10/2017,52,1.67
1910,3/14/2018,79,1.04
1903,2/28/2018,44,0.07
1904,4/26/2018,99,0.35
1907,6/22/2018,2,0.56
1911,11/22/2017,95,1.2
1909,2/6/2018,98,1.7
1907,5/15/2018,39,1.9
1909,7/8/2018,50,1.51
1904,1/8/2018,10,1.75
1905,12/25/2017,7,1.66
1907,2/18/2018,46,0.01
1903,5/2/2018,52,0.62
1908,1/27/2018,27,1.63
1906,5/9/2018,73,1.25
1906,10/18/2017,78,0.55
1904,12/5/2017,1,0.95
1910,9/1/2018,60,1.26
1909,10/31/2017,8,0.19
1905,12/20/2017,2,0.57
1904,4/18/2018,27,0.29
1910,12/22/2017,91,1.28
1907,10/2/2017,58,0.42
1910,1/3/2018,36,0.09
1908,12/13/2017,2,1.13
1907,2/15/2018,71,1.14
1905,8/11/2018,39,0.92
1906,7/31/2018,82,1.65
1905,11/12/2017,94,0.6
1906,1/19/2018,66,1.63
1910,5/2/2018,14,1.21
1909,1/14/2018,80,1.45
1905,5/18/2018,63,1.58
1910,5/20/2018,85,0.04
1905,10/8/2017,94,0.21
1904,2/3/2018,13,1.47
1904,4/16/2018,18,1.39
1903,4/24/2018,83,0.86
1903,10/8/2017,48,0.29
1908,5/7/2018,27,1.55
1911,3/23/2018,95,1.89
1903,11/9/2017,97,1.5
1911,3/7/2018,18,0.55
1911,7/23/2018,48,1.15
1911,9/24/2017,65,1.37
1906,2/16/2018,67,1.04
1903,5/4/2018,43,1.27
1911,7/20/2018,62,0.06
1909,5/20/2018,7,1.52
1911,1/28/2018,41,1.59
1910,3/24/2018,29,1.44
1903,9/21/2017,5,1.75
1907,10/10/2017,100,0.21
1909,10/9/2017,29,0.0
1905,5/17/2018,19,1.8
1905,11/13/2017,21,0.59
1905,1/11/2018,15,1.96
1906,6/13/2018,4,1.24
1905,7/24/2018,99,1.0
1907,7/1/2018,8,1.65
1908,9/14/2018,67,0.37
1903,3/27/2018,47,1.76
1909,6/6/2018,99,1.07
1909,6/25/2018,99,1.76
1905,2/28/2018,55,1.58
1909,3/15/2018,67,1.65
1911,9/28/2017,97,0.5
1909,12/16/2017,90,0.72
1904,4/7/2018,71,0.13
1911,8/5/2018,11,0.98
1904,5/13/2018,63,0.17
1907,7/21/2018,91,0.22
1904,8/14/2018,26,0.4
1905,12/16/2017,26,0.41
1910,8/19/2018,28,0.72
1909,3/12/2018,64,1.85
1903,1/23/2018,10,0.42
1908,5/18/2018,43,1.6
1904,9/12/2018,77,1.84
1908,11/22/2017,54,1.12
1903,3/31/2018,76,0.04
1910,11/3/2017,16,0.08
1910,4/7/2018,72,0.62
