emplyeeId,date,totalMinutes,totalData
1910,9/22/2017,28,1.91
1903,8/1/2018,88,1.09
1911,6/4/2018,38,1.31
1908,6/28/2018,39,1.61
1903,7/31/2018,88,1.32
1908,12/13/2017,22,1.52
1910,9/12/2018,45,0.86
1904,8/23/2018,65,0.42
1907,5/29/2018,56,1.75
1906,12/17/2017,51,0.89
1910,8/17/2018,6,0.49
1905,10/28/2017,5,1.81
1908,5/26/2018,47,1.54
1903,5/30/2018,1,0.44
1907,4/18/2018,34,0.87
1907,5/5/2018,38,1.23
1909,12/10/2017,99,0.49
1908,7/23/2018,1,0.99
1903,10/29/2017,66,1.65
1911,8/30/2018,52,0.87
1903,5/15/2018,13,0.06
1904,7/2/2018,29,0.26
1907,11/18/2017,2,1.51
1904,12/30/2017,25,1.89
1910,6/8/2018,22,0.87
1905,5/10/2018,35,0.77
1903,5/3/2018,53,0.82
1909,4/26/2018,37,1.94
1904,6/13/2018,43,0.1
1907,7/3/2018,1,0.57
1909,3/20/2018,11,0.09
1911,11/25/2017,69,1.51
1909,10/19/2017,69,0.59
1908,12/21/2017,87,1.47
1910,6/11/2018,95,0.86
1905,12/18/2017,85,1.86
1910,11/5/2017,99,1.9
1908,11/24/2017,48,0.63
1907,7/14/2018,20,0.51
1910,11/7/2017,96,1.16
1908,11/8/2017,74,1.32
1905,8/17/2018,45,0.51
1910,7/22/2018,27,1.68
1907,3/10/2018,58,0.4
1904,1/22/2018,42,1.22
1906,6/8/2018,90,0.29
1903,5/20/2018,25,1.05
1909,12/16/2017,10,0.56
1909,12/5/2017,15,0.88
1903,3/6/2018,60,0.96
1911,9/29/2017,99,0.81
1909,1/8/2018,89,1.4
1908,9/22/2017,44,1.69
1910,6/5/2018,24,0.51
1903,3/14/2018,32,0.84
1906,11/15/2017,27,1.22
1910,1/28/2018,51,0.36
1904,6/20/2018,85,1.11
1904,1/13/2018,39,1.6
1905,5/8/2018,5,1.03
1905,9/10/2018,28,1.71
1907,8/31/2018,27,1.12
1906,12/14/2017,4,0.24
1905,12/10/2017,69,1.24
1903,7/4/2018,85,0.92
1909,7/15/2018,47,0.52
1903,11/8/2017,16,1.06
1906,5/16/2018,8,1.18
1906,7/28/2018,8,0.79
1911,6/26/2018,98,1.99
1905,6/5/2018,31,1.6
1904,9/25/2017,44,0.19
1905,9/18/2018,34,0.32
1910,11/16/2017,40,0.63
1906,10/6/2017,66,1.71
1906,11/28/2017,18,1.84
1911,7/12/2018,6,1.84
1910,3/5/2018,70,1.81
1905,8/1/2018,87,1.06
1910,2/10/2018,9,0.65
1909,5/22/2018,45,0.13
1911,1/4/2018,54,0.68
1907,5/12/2018,64,0.54
1903,5/5/2018,90,0.49
1905,1/8/2018,20,1.25
1907,1/30/2018,52,1.18
1905,6/1/2018,96,0.52
1911,3/19/2018,73,1.96
1903,6/11/2018,48,1.66
1908,7/3/2018,82,1.87
1906,1/15/2018,6,1.2
1905,12/5/2017,45,1.68
1904,3/22/2018,61,1.14
1908,1/8/2018,89,1.76
1908,5/25/2018,40,1.92
1903,9/13/2018,89,1.19
1907,12/23/2017,4,0.27
1911,4/28/2018,10,1.79
1910,10/6/2017,47,1.43
1904,6/2/2018,19,0.3
1904,10/5/2017,22,1.97
1909,6/1/2018,27,0.83
1910,10/14/2017,71,0.06
1906,8/21/2018,79,0.73
1904,3/26/2018,87,1.73
1906,4/18/2018,95,0.12
1911,1/28/2018,79,0.94
1911,3/18/2018,61,1.21
1906,5/5/2018,67,1.76
1903,7/30/2018,89,1.23
1906,4/26/2018,34,0.25
1910,2/21/2018,79,1.76
1911,9/28/2017,6,0.95
1903,8/24/2018,38,1.54
1911,12/9/2017,81,0.51
1907,8/26/2018,45,1.66
1909,1/26/2018,1,0.88
1906,10/25/2017,34,0.39
1904,10/11/2017,20,1.84
1908,1/12/2018,78,1.19
1910,2/26/2018,31,0.75
1903,9/27/2017,2,1.64
1909,2/18/2018,98,0.51
1903,5/30/2018,20,1.69
1906,2/16/2018,14,1.92
1904,12/23/2017,28,0.01
1906,4/17/2018,82,0.74
1904,7/5/2018,1,1.99
1909,12/21/2017,48,1.04
1907,5/13/2018,96,1.62
1905,8/14/2018,50,0.18
1911,4/5/2018,57,0.72
1910,7/24/2018,14,1.8
1903,12/16/2017,99,0.86
1905,12/2/2017,16,1.0
1907,7/21/2018,90,1.84
1909,4/12/2018,77,0.87
1909,2/18/2018,32,1.86
1906,1/10/2018,12,0.73
1904,10/6/2017,78,1.79
1910,11/9/2017,71,1.74
1906,8/3/2018,68,1.35
1905,1/27/2018,79,0.18
1905,12/26/2017,24,0.55
1905,2/25/2018,77,1.62
1908,10/13/2017,20,0.33
1908,12/13/2017,78,1.58
1911,5/10/2018,62,1.48
1908,3/19/2018,60,1.35
1909,9/17/2018,9,1.15
1904,7/29/2018,6,0.52
1906,9/27/2017,37,1.8
1908,9/22/2017,13,0.72
1910,3/16/2018,78,1.32
1905,10/4/2017,47,1.34
1907,2/4/2018,56,0.06
1909,7/12/2018,47,0.79
1911,2/2/2018,78,0.13
1903,3/9/2018,68,1.64
1906,5/28/2018,36,0.96
1911,11/15/2017,78,1.27
1911,10/24/2017,27,1.35
1908,6/5/2018,56,1.67
1909,5/30/2018,100,1.02
1903,10/15/2017,29,1.79
1909,12/6/2017,41,1.75
1906,7/4/2018,25,0.92
1905,3/21/2018,33,1.22
1904,11/28/2017,44,0.27
1908,4/23/2018,15,0.78
1910,10/11/2017,55,0.43
1910,5/4/2018,61,0.75
1905,7/25/2018,11,1.91
1903,8/20/2018,97,1.27
1908,6/19/2018,54,0.17
1904,3/16/2018,86,1.74
1904,5/16/2018,71,1.03
1905,11/14/2017,50,1.76
1903,12/3/2017,56,1.68
1904,1/16/2018,94,0.43
1904,5/16/2018,31,1.11
1911,9/3/2018,31,0.78
1904,7/12/2018,99,0.65
1904,1/10/2018,100,1.6
1908,3/30/2018,55,0.67
1906,10/26/2017,50,0.13
1909,5/8/2018,14,0.92
1903,3/10/2018,41,0.48
1907,7/26/2018,16,1.9
1903,11/11/2017,49,0.38
1910,7/17/2018,58,1.69
1907,4/25/2018,70,0.63
1908,7/15/2018,36,1.07
1905,12/22/2017,50,0.22
1910,2/5/2018,42,0.74
1908,1/2/2018,27,1.45
1907,1/25/2018,15,0.61
1909,11/14/2017,31,0.05
1906,11/15/2017,51,0.24
1910,9/7/2018,48,1.39
1904,7/25/2018,10,1.77
1910,6/6/2018,26,0.98
1907,11/20/2017,7,1.33
1903,3/1/2018,5,0.38
1903,5/22/2018,87,0.56
1903,3/31/2018,64,1.97
1907,3/1/2018,77,0.23
1904,5/12/2018,78,0.49
1910,7/22/2018,67,0.44
1905,6/2/2018,73,0.96
1907,2/15/2018,25,0.52
1905,10/21/2017,74,1.59
1911,4/11/2018,63,1.35
1903,5/23/2018,35,0.27
1908,5/14/2018,62,1.35
1904,11/15/2017,12,1.35
1911,10/24/2017,42,1.08
1904,2/5/2018,43,0.31
1905,7/1/2018,20,1.77
1905,11/17/2017,39,1.53
1904,3/26/2018,5,1.77
1908,5/20/2018,94,0.35
1907,9/28/2017,97,0.94
1910,3/4/2018,24,1.91
1904,7/7/2018,94,0.57
1906,7/25/2018,91,0.35
1906,3/24/2018,73,0.22
1907,3/13/2018,43,1.76
1904,1/16/2018,73,1.21
1907,2/12/2018,57,1.91
1910,2/11/2018,19,0.97
1910,5/19/2018,6,0.8
1905,12/29/2017,58,1.85
1905,8/22/2018,100,0.63
1905,10/2/2017,43,0.45
1907,12/9/2017,36,0.1
1908,8/6/2018,69,0.65
1905,6/24/2018,9,0.85
1907,7/2/2018,50,1.34
1904,4/12/2018,95,1.07
1910,6/27/2018,75,0.48
1904,7/17/2018,13,0.17
1905,3/17/2018,2,0.94
1908,1/20/2018,13,1.62
1904,7/7/2018,58,0.83
1908,1/23/2018,58,0.19
1905,11/9/2017,60,1.2
1907,12/10/2017,30,0.37
1906,1/16/2018,42,0.68
1907,11/3/2017,88,1.31
1905,6/25/2018,12,1.49
1911,1/26/2018,63,1.39
1907,6/5/2018,71,0.92
1903,11/4/2017,29,1.15
1906,5/11/2018,93,0.32
1911,9/2/2018,75,0.56
1903,9/3/2018,99,0.22
1906,2/25/2018,26,1.23
1903,4/20/2018,21,1.1
1906,1/16/2018,15,1.58
1907,9/24/2017,97,1.14
1907,12/5/2017,48,1.76
1907,1/10/2018,41,1.27
1909,6/10/2018,77,0.99
1909,7/4/2018,17,1.34
1905,2/9/2018,36,0.11
1910,9/13/2018,10,0.33
1910,1/21/2018,11,1.33
1907,4/10/2018,11,1.61
1903,12/22/2017,18,1.94
1907,7/23/2018,29,0.41
1908,12/9/2017,21,1.97
1904,4/16/2018,44,0.67
1903,9/2/2018,23,0.32
1907,10/20/2017,6,0.68
1908,8/6/2018,61,0.7
1906,12/22/2017,80,0.39
1909,9/17/2018,34,1.86
1906,3/23/2018,85,1.01
1903,1/22/2018,79,1.66
1910,10/8/2017,13,1.69
1904,12/6/2017,17,1.65
1905,8/6/2018,16,1.74
1907,8/31/2018,6,1.41
1906,4/12/2018,37,1.59
1907,12/27/2017,91,0.62
1903,1/21/2018,73,1.71
1904,10/25/2017,38,1.87
1910,3/29/2018,1,0.84
1906,9/28/2017,30,1.58
1909,7/20/2018,85,0.64
1908,12/23/2017,85,0.82
1905,8/16/2018,47,0.03
1904,10/1/2017,10,0.15
1905,11/16/2017,99,1.8
1905,11/30/2017,3,1.16
1903,1/27/2018,33,0.25
1904,7/14/2018,17,0.65
1908,9/5/2018,61,0.8
1908,2/7/2018,35,1.55
1907,4/11/2018,23,1.63
1908,10/8/2017,35,1.17
1905,8/14/2018,26,0.59
1904,2/23/2018,76,1.74
1904,6/17/2018,10,1.26
1907,11/27/2017,40,0.38
1904,10/31/2017,31,0.43
1907,12/26/2017,55,0.41
1910,5/27/2018,14,1.56
1909,3/30/2018,71,0.92
1905,3/15/2018,59,0.03
1904,12/6/2017,21,1.3
1903,8/5/2018,65,1.41
1908,7/18/2018,73,1.46
1910,12/20/2017,61,0.64
1910,1/11/2018,18,0.21
1908,8/19/2018,30,1.07
1907,4/19/2018,10,0.61
1909,2/12/2018,8,0.24
1904,4/30/2018,27,0.31
1906,11/3/2017,5,0.6
1903,6/8/2018,21,1.92
1904,4/16/2018,46,0.64
1907,9/12/2018,26,0.01
1907,3/4/2018,19,0.62
1905,4/3/2018,86,1.3
1903,2/3/2018,100,0.75
1905,8/30/2018,84,0.56
1909,1/25/2018,6,1.49
1908,6/25/2018,11,1.03
1909,8/6/2018,34,0.62
1910,1/29/2018,10,0.46
1911,2/18/2018,57,0.88
1907,3/9/2018,92,1.1
1911,8/7/2018,66,1.91
1906,6/10/2018,8,0.87
1910,1/3/2018,90,1.99
1910,12/11/2017,35,0.78
1904,11/30/2017,12,1.77
1905,1/14/2018,34,1.76
1903,12/8/2017,36,0.93
1903,1/15/2018,68,1.91
1905,12/1/2017,4,0.46
1909,12/11/2017,15,1.45
1903,5/18/2018,23,0.47
1907,4/24/2018,72,0.38
1903,8/10/2018,58,1.75
1911,11/12/2017,29,0.69
1907,1/27/2018,82,0.39
1908,3/22/2018,3,0.01
1908,12/21/2017,29,0.37
1903,6/21/2018,16,0.29
1910,11/4/2017,92,0.02
1904,9/15/2018,80,0.76
1905,12/13/2017,43,0.51
1909,4/5/2018,64,0.97
1907,1/6/2018,83,1.6
1908,11/29/2017,50,0.57
1907,10/30/2017,5,0.49
1904,12/5/2017,69,0.9
1908,10/24/2017,13,1.56
1906,3/6/2018,19,0.21
1907,3/3/2018,50,0.35
1907,11/12/2017,52,0.09
1907,1/20/2018,91,1.78
1904,1/1/2018,37,1.92
1910,8/4/2018,20,1.14
1908,12/11/2017,98,1.01
1904,11/28/2017,68,1.6
1910,2/9/2018,17,0.48
1911,4/4/2018,49,1.89
1905,3/31/2018,1,1.93
1903,10/27/2017,21,1.13
1905,8/12/2018,74,1.54
1910,4/16/2018,16,0.33
1909,4/29/2018,50,0.14
1909,7/14/2018,49,0.29
1904,3/20/2018,71,1.39
1904,12/2/2017,60,0.7
1905,4/23/2018,88,0.95
1908,11/2/2017,76,1.01
1904,4/17/2018,80,0.43
1903,12/29/2017,5,1.29
1908,11/28/2017,38,0.18
1904,1/26/2018,11,0.71
1909,2/16/2018,89,0.74
1909,3/12/2018,4,0.47
1908,3/26/2018,49,0.82
1909,12/3/2017,42,1.37
1911,10/13/2017,58,1.29
1904,10/22/2017,20,1.18
1911,11/13/2017,27,1.51
1908,2/9/2018,91,0.11
1907,6/12/2018,86,0.86
1906,7/23/2018,23,0.42
1909,4/18/2018,52,0.36
1909,1/29/2018,96,1.37
1911,1/2/2018,80,0.39
1909,11/2/2017,13,0.61
1910,5/28/2018,64,1.39
1911,8/27/2018,100,0.86
1905,1/4/2018,44,1.42
1909,11/8/2017,52,1.66
1910,10/8/2017,37,1.29
1908,5/1/2018,41,0.4
1911,3/26/2018,90,0.58
1908,12/25/2017,1,1.71
1906,12/25/2017,37,0.21
1906,1/8/2018,96,0.05
1906,11/12/2017,33,1.15
1906,8/23/2018,88,0.11
1903,12/3/2017,5,0.96
1911,1/24/2018,94,0.64
1908,3/14/2018,99,0.31
1905,5/21/2018,84,1.64
1903,12/2/2017,49,1.94
1904,9/14/2018,16,0.28
1908,5/9/2018,97,1.96
1907,3/20/2018,97,0.11
1906,6/6/2018,100,0.55
1903,10/17/2017,14,0.23
1908,2/16/2018,5,1.2
1911,1/28/2018,60,0.59
1910,10/17/2017,70,0.8
1906,5/27/2018,7,1.76
1903,9/22/2017,96,0.35
1905,6/29/2018,75,0.03
1910,6/4/2018,4,0.42
1904,1/29/2018,34,0.68
1909,5/25/2018,53,1.48
1911,4/29/2018,53,0.64
1909,1/25/2018,39,0.92
1910,10/23/2017,49,0.44
1910,9/8/2018,52,0.23
1911,4/10/2018,54,1.6
1911,9/1/2018,55,1.89
1910,2/11/2018,97,0.64
1910,3/7/2018,2,0.47
1905,4/23/2018,28,0.28
1905,5/17/2018,65,1.9
1905,1/22/2018,41,0.87
1908,5/27/2018,73,0.13
1905,11/27/2017,24,1.55
1910,5/29/2018,53,0.61
1911,9/27/2017,58,0.85
1903,6/11/2018,23,1.61
1903,5/30/2018,10,0.16
1907,2/25/2018,95,0.14
1911,4/18/2018,15,1.16
1904,2/19/2018,2,1.84
1908,1/5/2018,64,0.27
1908,6/13/2018,99,1.21
1910,8/3/2018,21,0.47
1908,1/23/2018,20,0.65
1908,6/14/2018,11,1.44
1904,11/6/2017,50,1.06
1905,11/25/2017,6,0.04
1908,9/1/2018,98,0.64
1908,12/7/2017,43,0.63
1907,6/23/2018,80,1.57
1906,5/8/2018,62,1.78
1904,4/22/2018,100,1.57
1904,10/14/2017,100,1.3
1906,5/29/2018,33,1.2
1910,7/14/2018,44,0.47
1909,12/18/2017,52,1.65
1905,12/22/2017,70,0.12
1908,7/28/2018,98,1.26
1907,3/29/2018,30,0.94
1907,11/29/2017,17,0.36
1905,9/21/2017,100,1.6
1906,4/16/2018,97,1.86
1911,6/17/2018,9,1.87
1903,9/27/2017,98,1.82
1909,6/26/2018,6,0.08
1903,4/4/2018,73,1.99
1904,5/3/2018,60,1.1
1904,7/30/2018,18,0.54
1906,5/9/2018,35,1.94
1909,10/3/2017,5,0.05
1905,8/23/2018,75,0.87
1903,7/28/2018,38,1.52
1911,12/22/2017,20,0.11
1907,2/11/2018,61,1.84
1905,1/22/2018,69,0.43
1906,11/26/2017,2,0.84
1905,11/2/2017,36,1.5
1907,3/19/2018,11,0.93
1903,9/8/2018,21,0.83
1905,12/26/2017,59,1.47
1905,9/14/2018,53,1.91
1904,7/1/2018,73,1.97
1906,10/15/2017,27,1.38
1904,9/1/2018,74,0.9
1910,5/10/2018,18,0.1
1903,8/22/2018,4,1.26
1907,7/18/2018,83,1.33
1909,11/11/2017,71,1.29
1906,9/25/2017,100,0.66
1906,5/10/2018,16,0.56
